"participantGUID","pid","Protocol","ageGroup","d_arrive","d_sacrifice","Intervention","SacrificeTime","ANIRandGroup","siteName"
"BC49E4EF-E2FE-4269-BAF0-461F768BD95D",10023259,2,1,"05JUN2018","03SEP2018",3,11,"Eight-week program Control Group",940
"0BD282C7-7832-4581-9089-08A32D557034",10024735,2,1,"05JUN2018","03SEP2018",2,11,"Eight-week program Training Group",940
"5DD59E08-55A4-4681-A7AD-BC72829182BF",10024816,2,1,"05JUN2018","03SEP2018",3,11,"Eight-week program Control Group",940
"1F0F7A2E-D286-4BBE-8A73-A9FCE8B92D4A",10025030,2,1,"05JUN2018","01JAN1960",2,11,"Eight-week program Training Group",940
"BBC941A6-1987-449A-8854-1A5CBF0A00A8",10025383,2,1,"05JUN2018","01JAN1960",2,11,"Eight-week program Training Group",940
"0655B62B-238D-4BA6-90BC-6938C47696E7",10025464,2,1,"05JUN2018","04SEP2018",3,11,"Eight-week program Control Group",940
"D453E0D3-5E7D-47B9-868A-49A17E82E461",10025545,2,1,"05JUN2018","04SEP2018",3,11,"Eight-week program Control Group",940
"955498F4-70A0-4D50-A2BA-619A8FED8FEF",10025626,2,1,"05JUN2018","04SEP2018",2,11,"Eight-week program Training Group",940
"CFE06932-9314-4BCC-B2D9-73883D5FCDFB",10025707,2,1,"05JUN2018","04SEP2018",2,11,"Eight-week program Training Group",940
"2AD83108-ED2F-4072-AC16-3A54A5EC657A",10025898,2,1,"05JUN2018","04SEP2018",2,11,"Eight-week program Training Group",940
"3719CB62-B551-49BE-94A0-E51DFE13D30D",10025979,2,1,"05JUN2018","05SEP2018",2,11,"Eight-week program Training Group",940
"A06B56CB-17AE-4D88-B608-CBB9C5A9B8AC",10026002,2,1,"05JUN2018","05SEP2018",3,11,"Eight-week program Control Group",940
"F65955CE-E49F-48C7-B861-02A2FDF6F9B8",10026193,2,1,"05JUN2018","05SEP2018",2,11,"Eight-week program Training Group",940
"F6BECF8B-C45D-4D02-95CB-73201427A405",10026274,2,1,"05JUN2018","05SEP2018",3,11,"Eight-week program Control Group",940
"0559B193-BED3-4170-B045-10A2B6441CB6",10026355,2,1,"05JUN2018","05SEP2018",3,11,"Eight-week program Control Group",940
"85A6A5C8-50CC-4CA1-96EC-D3860C0FEE39",10026436,2,1,"05JUN2018","05SEP2018",2,11,"Eight-week program Training Group",940
"0B560107-9C5F-4C50-AF24-E8231971C6F2",10026517,2,1,"05JUN2018","06SEP2018",3,11,"Eight-week program Control Group",940
"90CFE5A4-76FE-4458-A2B1-A66F0B60118E",10026789,2,1,"05JUN2018","06SEP2018",3,11,"Eight-week program Control Group",940
"B68FB52A-C55C-4C68-9F0D-D786C85CF0AD",10026940,2,1,"05JUN2018","06SEP2018",2,11,"Eight-week program Training Group",940
"0417F3E1-9068-41B7-8B54-3537017D8E3E",10027084,2,1,"05JUN2018","06SEP2018",2,11,"Eight-week program Training Group",940
